/mnt/32mins/language_detection/venv/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/mnt/32mins/language_detection/venv/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)
Total paramaeters:  11171266
Trainable parameters:  11171266
/mnt/32mins/language_detection/venv/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:60: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
                                                                                                       
Epoch: 1 	Training Loss: 0.0000011422 	Training Accuracy: 0.961385 	Validation Loss: 0.0000030775 	Validation  Accuracy: 0.978055
Validation loss decreased (inf --> 0.000003).    Model Saved......
Epoch: 2 	Training Loss: 0.0000007537 	Training Accuracy: 0.976769 	Validation Loss: 0.0000041628 	Validation  Accuracy: 0.968118
Epoch: 3 	Training Loss: 0.0000006459 	Training Accuracy: 0.980242 	Validation Loss: 0.0000032198 	Validation  Accuracy: 0.975408
Epoch: 4 	Training Loss: 0.0000004563 	Training Accuracy: 0.986006 	Validation Loss: 0.0000017086 	Validation  Accuracy: 0.987378
Validation loss decreased (0.000003 --> 0.000002).    Model Saved......
Epoch: 5 	Training Loss: 0.0000004062 	Training Accuracy: 0.987224 	Validation Loss: 0.0000016318 	Validation  Accuracy: 0.987531
Validation loss decreased (0.000002 --> 0.000002).    Model Saved......
Epoch: 6 	Training Loss: 0.0000003772 	Training Accuracy: 0.988020 	Validation Loss: 0.0000017744 	Validation  Accuracy: 0.986841
Epoch: 7 	Training Loss: 0.0000003437 	Training Accuracy: 0.988759 	Validation Loss: 0.0000014988 	Validation  Accuracy: 0.988644
Validation loss decreased (0.000002 --> 0.000001).    Model Saved......
Epoch: 8 	Training Loss: 0.0000003281 	Training Accuracy: 0.989229 	Validation Loss: 0.0000014191 	Validation  Accuracy: 0.989027
Validation loss decreased (0.000001 --> 0.000001).    Model Saved......
Epoch: 9 	Training Loss: 0.0000003051 	Training Accuracy: 0.989881 	Validation Loss: 0.0000014546 	Validation  Accuracy: 0.988414
Epoch: 10 	Training Loss: 0.0000002870 	Training Accuracy: 0.990456 	Validation Loss: 0.0000013973 	Validation  Accuracy: 0.989296
Validation loss decreased (0.000001 --> 0.000001).    Model Saved......
Epoch: 11 	Training Loss: 0.0000002706 	Training Accuracy: 0.990917 	Validation Loss: 0.0000014059 	Validation  Accuracy: 0.988567
Epoch: 12 	Training Loss: 0.0000002562 	Training Accuracy: 0.991214 	Validation Loss: 0.0000012139 	Validation  Accuracy: 0.990255
Validation loss decreased (0.000001 --> 0.000001).    Model Saved......
Epoch: 13 	Training Loss: 0.0000002425 	Training Accuracy: 0.991646 	Validation Loss: 0.0000012382 	Validation  Accuracy: 0.990792
Epoch: 14 	Training Loss: 0.0000002255 	Training Accuracy: 0.992077 	Validation Loss: 0.0000014062 	Validation  Accuracy: 0.989181
Epoch: 15 	Training Loss: 0.0000001885 	Training Accuracy: 0.993228 	Validation Loss: 0.0000011305 	Validation  Accuracy: 0.991099
Validation loss decreased (0.000001 --> 0.000001).    Model Saved......
Epoch: 16 	Training Loss: 0.0000001769 	Training Accuracy: 0.993890 	Validation Loss: 0.0000011315 	Validation  Accuracy: 0.990754
Epoch: 17 	Training Loss: 0.0000001724 	Training Accuracy: 0.993977 	Validation Loss: 0.0000011232 	Validation  Accuracy: 0.991329
Validation loss decreased (0.000001 --> 0.000001).    Model Saved......
Epoch: 18 	Training Loss: 0.0000001642 	Training Accuracy: 0.994312 	Validation Loss: 0.0000010565 	Validation  Accuracy: 0.990869
Validation loss decreased (0.000001 --> 0.000001).    Model Saved......
Epoch: 19 	Training Loss: 0.0000001624 	Training Accuracy: 0.994130 	Validation Loss: 0.0000011428 	Validation  Accuracy: 0.990409
Epoch: 20 	Training Loss: 0.0000001572 	Training Accuracy: 0.994360 	Validation Loss: 0.0000011419 	Validation  Accuracy: 0.990907
Epoch: 21 	Training Loss: 0.0000001542 	Training Accuracy: 0.994437 	Validation Loss: 0.0000011182 	Validation  Accuracy: 0.990946
Epoch: 22 	Training Loss: 0.0000001527 	Training Accuracy: 0.994533 	Validation Loss: 0.0000012054 	Validation  Accuracy: 0.990677
Epoch: 23 	Training Loss: 0.0000001558 	Training Accuracy: 0.994619 	Validation Loss: 0.0000011055 	Validation  Accuracy: 0.991521
Epoch: 24 	Training Loss: 0.0000001544 	Training Accuracy: 0.994744 	Validation Loss: 0.0000010765 	Validation  Accuracy: 0.991061
Epoch: 25 	Training Loss: 0.0000001505 	Training Accuracy: 0.994590 	Validation Loss: 0.0000011366 	Validation  Accuracy: 0.990984
Epoch: 26 	Training Loss: 0.0000001499 	Training Accuracy: 0.994821 	Validation Loss: 0.0000011586 	Validation  Accuracy: 0.990524
Epoch: 27 	Training Loss: 0.0000001467 	Training Accuracy: 0.994869 	Validation Loss: 0.0000011253 	Validation  Accuracy: 0.991176
Epoch: 28 	Training Loss: 0.0000001501 	Training Accuracy: 0.994763 	Validation Loss: 0.0000011562 	Validation  Accuracy: 0.990409
Epoch: 29 	Training Loss: 0.0000001526 	Training Accuracy: 0.994619 	Validation Loss: 0.0000011051 	Validation  Accuracy: 0.990984
Epoch: 30 	Training Loss: 0.0000001483 	Training Accuracy: 0.994763 	Validation Loss: 0.0000011214 	Validation  Accuracy: 0.991022
Epoch: 31 	Training Loss: 0.0000001530 	Training Accuracy: 0.994686 	Validation Loss: 0.0000011331 	Validation  Accuracy: 0.990946
Epoch: 32 	Training Loss: 0.0000001515 	Training Accuracy: 0.994744 	Validation Loss: 0.0000011319 	Validation  Accuracy: 0.991022
Epoch: 33 	Training Loss: 0.0000001501 	Training Accuracy: 0.994638 	Validation Loss: 0.0000010587 	Validation  Accuracy: 0.990524
Epoch: 34 	Training Loss: 0.0000001554 	Training Accuracy: 0.994140 	Validation Loss: 0.0000011676 	Validation  Accuracy: 0.990907
Epoch: 35 	Training Loss: 0.0000001553 	Training Accuracy: 0.994504 	Validation Loss: 0.0000010971 	Validation  Accuracy: 0.990869
Epoch: 36 	Training Loss: 0.0000001544 	Training Accuracy: 0.994753 	Validation Loss: 0.0000011045 	Validation  Accuracy: 0.991406
Epoch: 37 	Training Loss: 0.0000001559 	Training Accuracy: 0.994562 	Validation Loss: 0.0000011145 	Validation  Accuracy: 0.991138
Epoch: 38 	Training Loss: 0.0000001540 	Training Accuracy: 0.994811 	Validation Loss: 0.0000011437 	Validation  Accuracy: 0.991022
Epoch: 39 	Training Loss: 0.0000001561 	Training Accuracy: 0.994523 	Validation Loss: 0.0000011413 	Validation  Accuracy: 0.990984
Epoch: 40 	Training Loss: 0.0000001490 	Training Accuracy: 0.994840 	Validation Loss: 0.0000011407 	Validation  Accuracy: 0.991176
Epoch: 41 	Training Loss: 0.0000001537 	Training Accuracy: 0.994821 	Validation Loss: 0.0000010628 	Validation  Accuracy: 0.990831
Epoch: 42 	Training Loss: 0.0000001498 	Training Accuracy: 0.994571 	Validation Loss: 0.0000011054 	Validation  Accuracy: 0.991176
Epoch: 43 	Training Loss: 0.0000001522 	Training Accuracy: 0.994475 	Validation Loss: 0.0000011082 	Validation  Accuracy: 0.990869
Epoch: 44 	Training Loss: 0.0000001498 	Training Accuracy: 0.994725 	Validation Loss: 0.0000011766 	Validation  Accuracy: 0.990485
Epoch: 45 	Training Loss: 0.0000001565 	Training Accuracy: 0.994418 	Validation Loss: 0.0000010944 	Validation  Accuracy: 0.990754
Epoch: 46 	Training Loss: 0.0000001538 	Training Accuracy: 0.994514 	Validation Loss: 0.0000010886 	Validation  Accuracy: 0.991790
Epoch: 47 	Training Loss: 0.0000001568 	Training Accuracy: 0.994504 	Validation Loss: 0.0000011843 	Validation  Accuracy: 0.989987
Epoch: 48 	Training Loss: 0.0000001548 	Training Accuracy: 0.994734 	Validation Loss: 0.0000011149 	Validation  Accuracy: 0.990562
Epoch: 49 	Training Loss: 0.0000001530 	Training Accuracy: 0.994734 	Validation Loss: 0.0000011470 	Validation  Accuracy: 0.991176
Epoch: 50 	Training Loss: 0.0000001581 	Training Accuracy: 0.994542 	Validation Loss: 0.0000011101 	Validation  Accuracy: 0.991329
Epoch: 51 	Training Loss: 0.0000001492 	Training Accuracy: 0.994696 	Validation Loss: 0.0000010800 	Validation  Accuracy: 0.991483
Epoch: 52 	Training Loss: 0.0000001543 	Training Accuracy: 0.994677 	Validation Loss: 0.0000011661 	Validation  Accuracy: 0.990984
Epoch: 53 	Training Loss: 0.0000001435 	Training Accuracy: 0.994811 	Validation Loss: 0.0000011349 	Validation  Accuracy: 0.991061
Epoch: 54 	Training Loss: 0.0000001498 	Training Accuracy: 0.994725 	Validation Loss: 0.0000011202 	Validation  Accuracy: 0.991483
Epoch: 55 	Training Loss: 0.0000001524 	Training Accuracy: 0.994379 	Validation Loss: 0.0000011222 	Validation  Accuracy: 0.990946
Epoch: 56 	Training Loss: 0.0000001475 	Training Accuracy: 0.994792 	Validation Loss: 0.0000011133 	Validation  Accuracy: 0.991291
Epoch: 57 	Training Loss: 0.0000001550 	Training Accuracy: 0.994533 	Validation Loss: 0.0000011073 	Validation  Accuracy: 0.991483
Epoch: 58 	Training Loss: 0.0000001543 	Training Accuracy: 0.994370 	Validation Loss: 0.0000011314 	Validation  Accuracy: 0.990524
Epoch: 59 	Training Loss: 0.0000001510 	Training Accuracy: 0.994821 	Validation Loss: 0.0000010809 	Validation  Accuracy: 0.991061
Epoch: 60 	Training Loss: 0.0000001561 	Training Accuracy: 0.994552 	Validation Loss: 0.0000011159 	Validation  Accuracy: 0.991022
Epoch: 61 	Training Loss: 0.0000001574 	Training Accuracy: 0.994629 	Validation Loss: 0.0000010935 	Validation  Accuracy: 0.990869
Epoch: 62 	Training Loss: 0.0000001543 	Training Accuracy: 0.994936 	Validation Loss: 0.0000011384 	Validation  Accuracy: 0.990792
Epoch: 63 	Training Loss: 0.0000001516 	Training Accuracy: 0.994629 	Validation Loss: 0.0000010748 	Validation  Accuracy: 0.991291
Epoch: 64 	Training Loss: 0.0000001538 	Training Accuracy: 0.994686 	Validation Loss: 0.0000010993 	Validation  Accuracy: 0.990869
Epoch: 65 	Training Loss: 0.0000001539 	Training Accuracy: 0.994821 	Validation Loss: 0.0000011326 	Validation  Accuracy: 0.990907
Epoch: 66 	Training Loss: 0.0000001460 	Training Accuracy: 0.994869 	Validation Loss: 0.0000010674 	Validation  Accuracy: 0.990831
Epoch: 67 	Training Loss: 0.0000001495 	Training Accuracy: 0.994801 	Validation Loss: 0.0000010651 	Validation  Accuracy: 0.991406
Epoch: 68 	Training Loss: 0.0000001523 	Training Accuracy: 0.994821 	Validation Loss: 0.0000011461 	Validation  Accuracy: 0.990447
Epoch: 69 	Training Loss: 0.0000001535 	Training Accuracy: 0.994667 	Validation Loss: 0.0000010719 	Validation  Accuracy: 0.991214
Epoch: 70 	Training Loss: 0.0000001541 	Training Accuracy: 0.994725 	Validation Loss: 0.0000011176 	Validation  Accuracy: 0.990447
Epoch: 71 	Training Loss: 0.0000001533 	Training Accuracy: 0.994485 	Validation Loss: 0.0000010839 	Validation  Accuracy: 0.990831
Epoch: 72 	Training Loss: 0.0000001499 	Training Accuracy: 0.994715 	Validation Loss: 0.0000010714 	Validation  Accuracy: 0.990869
Epoch: 73 	Training Loss: 0.0000001532 	Training Accuracy: 0.994667 	Validation Loss: 0.0000011478 	Validation  Accuracy: 0.990217
Epoch: 74 	Training Loss: 0.0000001546 	Training Accuracy: 0.994552 	Validation Loss: 0.0000011532 	Validation  Accuracy: 0.990792
Epoch: 75 	Training Loss: 0.0000001574 	Training Accuracy: 0.994533 	Validation Loss: 0.0000010603 	Validation  Accuracy: 0.991406
Epoch: 76 	Training Loss: 0.0000001513 	Training Accuracy: 0.994792 	Validation Loss: 0.0000011157 	Validation  Accuracy: 0.991444
Epoch: 77 	Training Loss: 0.0000001517 	Training Accuracy: 0.994725 	Validation Loss: 0.0000010763 	Validation  Accuracy: 0.991138
Epoch: 78 	Training Loss: 0.0000001549 	Training Accuracy: 0.994552 	Validation Loss: 0.0000011226 	Validation  Accuracy: 0.991099
Epoch: 79 	Training Loss: 0.0000001550 	Training Accuracy: 0.994494 	Validation Loss: 0.0000010383 	Validation  Accuracy: 0.991636
Validation loss decreased (0.000001 --> 0.000001).    Model Saved......
Epoch: 80 	Training Loss: 0.0000001505 	Training Accuracy: 0.994897 	Validation Loss: 0.0000011067 	Validation  Accuracy: 0.990524
Epoch: 81 	Training Loss: 0.0000001516 	Training Accuracy: 0.994533 	Validation Loss: 0.0000010715 	Validation  Accuracy: 0.991099
Epoch: 82 	Training Loss: 0.0000001531 	Training Accuracy: 0.994705 	Validation Loss: 0.0000012109 	Validation  Accuracy: 0.990217
Epoch: 83 	Training Loss: 0.0000001504 	Training Accuracy: 0.994801 	Validation Loss: 0.0000011313 	Validation  Accuracy: 0.990600
Epoch: 84 	Training Loss: 0.0000001530 	Training Accuracy: 0.994648 	Validation Loss: 0.0000010850 	Validation  Accuracy: 0.991061
Epoch: 85 	Training Loss: 0.0000001507 	Training Accuracy: 0.994888 	Validation Loss: 0.0000011590 	Validation  Accuracy: 0.991022
Epoch: 86 	Training Loss: 0.0000001577 	Training Accuracy: 0.994619 	Validation Loss: 0.0000011329 	Validation  Accuracy: 0.990524
Epoch: 87 	Training Loss: 0.0000001515 	Training Accuracy: 0.994821 	Validation Loss: 0.0000010522 	Validation  Accuracy: 0.991368
Epoch: 88 	Training Loss: 0.0000001507 	Training Accuracy: 0.994658 	Validation Loss: 0.0000011084 	Validation  Accuracy: 0.990984
Epoch: 89 	Training Loss: 0.0000001518 	Training Accuracy: 0.994907 	Validation Loss: 0.0000011504 	Validation  Accuracy: 0.990869
Epoch: 90 	Training Loss: 0.0000001520 	Training Accuracy: 0.994705 	Validation Loss: 0.0000011177 	Validation  Accuracy: 0.991214
Epoch: 91 	Training Loss: 0.0000001562 	Training Accuracy: 0.994504 	Validation Loss: 0.0000010688 	Validation  Accuracy: 0.990562
Epoch: 92 	Training Loss: 0.0000001570 	Training Accuracy: 0.994466 	Validation Loss: 0.0000011330 	Validation  Accuracy: 0.990831
Epoch: 93 	Training Loss: 0.0000001507 	Training Accuracy: 0.994849 	Validation Loss: 0.0000011314 	Validation  Accuracy: 0.990792
Epoch: 94 	Training Loss: 0.0000001469 	Training Accuracy: 0.994811 	Validation Loss: 0.0000011310 	Validation  Accuracy: 0.990907
Epoch: 95 	Training Loss: 0.0000001520 	Training Accuracy: 0.994619 	Validation Loss: 0.0000010579 	Validation  Accuracy: 0.991176
Epoch: 96 	Training Loss: 0.0000001506 	Training Accuracy: 0.994926 	Validation Loss: 0.0000011184 	Validation  Accuracy: 0.991713
Epoch: 97 	Training Loss: 0.0000001511 	Training Accuracy: 0.994753 	Validation Loss: 0.0000011484 	Validation  Accuracy: 0.990907
Epoch: 98 	Training Loss: 0.0000001546 	Training Accuracy: 0.994571 	Validation Loss: 0.0000010922 	Validation  Accuracy: 0.990485
Epoch: 99 	Training Loss: 0.0000001534 	Training Accuracy: 0.994753 	Validation Loss: 0.0000011608 	Validation  Accuracy: 0.990409
Epoch: 100 	Training Loss: 0.0000001534 	Training Accuracy: 0.994667 	Validation Loss: 0.0000011121 	Validation  Accuracy: 0.990869
